pick_id,date,slot,kind,venue,venue_key,race,axis,axis_name,partners,axis_finish,first,second,third,kimarite,hit,cost,payout,status,t3_hit,t3_cost,t3_payout
20260921-ara-yahiko-5,20260921,10:28,ara,弥彦,yahiko,5,1,,7-2,4,2,3,7,捲,0,200,0,ok,0,0,0
20260921-ara-yahiko-11,20260921,10:28,ara,弥彦,yahiko,11,2,,6-1,4,1,5,4,差,0,200,0,ok,0,0,0
20260921-ara-toyama-11,20260921,10:28,ara,富山,toyama,11,9,,5-1,5,4,6,7,捲,0,200,0,ok,0,0,0
20260921-ara-toyama-8,20260921,10:28,ara,富山,toyama,8,2,,7-3,3,9,5,2,差,0,200,0,ok,0,0,0
20260921-ara-aomori-5,20260921,10:28,ara,青森,aomori,5,7,,1-5,6,3,2,4,捲,0,200,0,ok,0,0,0
20260921-ara-aomori-1,20260921,10:28,ara,青森,aomori,1,5,,3-3,2,3,5,2,逃,0,200,0,ok,0,0,0
20260921-ara-matsuyama-9,20260921,10:28,ara,松山,matsuyama,9,4,,5-7,2,5,4,2,逃,0,200,0,ok,0,0,0
20260921-ara-matsuyama-11,20260921,10:28,ara,松山,matsuyama,11,1,,4-5,1,1,4,7,捲,1,200,620,ok,0,0,0
20260921-ara-sasebo-8,20260921,10:28,ara,佐世保,sasebo,8,2,,1-3,3,6,4,2,捲,0,200,0,ok,0,0,0
20260921-ara-sasebo-7,20260921,10:28,ara,佐世保,sasebo,7,1,,2-3,6,5,2,6,逃,0,200,0,ok,0,0,0
20260921-ara-kochi-8,20260921,10:28,ara,高知,kochi,8,3,,1-2,5,1,4,2,逃,0,200,0,ok,0,0,0
20260921-ara-kochi-7,20260921,10:28,ara,高知,kochi,7,2,,1-4,1,2,3,1,差,0,200,0,ok,0,0,0
20260921-honmei-toyama-10,20260921,13:03,honmei,富山,toyama,10,1,,8-4-3,3,7,2,1,差,0,300,0,ok,0,600,0
20260921-honmei-toyama-7,20260921,13:03,honmei,富山,toyama,7,5,,1-8-9,9,9,1,8,捲,0,300,0,ok,0,600,0
20260921-honmei-yahiko-8,20260921,13:03,honmei,弥彦,yahiko,8,7,,2-3-1,6,5,3,1,差,0,300,0,ok,0,600,0
20260921-ara-yahiko-12,20260921,13:03,ara,弥彦,yahiko,12,2,,6-1,1,2,6,5,差,1,200,490,ok,0,600,0
20260921-honmei-matsuyama-11,20260921,20:04,honmei,松山,matsuyama,11,4,,1-5-7,2,1,4,7,捲,0,300,0,ok,0,600,0
20260921-honmei-aomori-12,20260921,20:04,honmei,青森,aomori,12,1,,5-2-4,1,1,5,7,差,1,300,640,ok,0,600,0
20260922-honmei-ogaki-4,20260922,08:14,honmei,大垣,ogaki,4,5,,1-3-2,1,5,7,4,逃,0,300,0,ok,0,600,0
20260922-honmei-ogaki-1,20260922,08:14,honmei,大垣,ogaki,1,1,,2-4-3,4,2,5,6,差,0,300,0,ok,0,600,0
20260922-ara-hiroshima-7,20260922,08:14,ara,広島,hiroshima,7,7,,4-4,1,7,2,6,差,0,200,0,ok,0,400,0
20260922-ara-hiroshima-2,20260922,08:14,ara,広島,hiroshima,2,3,,4-4,1,3,4,7,差,1,200,590,ok,1,400,1130
20260922-ara-omiya-1,20260922,08:14,ara,大宮,omiya,1,3,,7,5,7,1,4,逃,0,100,0,ok,0,300,0
20260922-ara-omiya-6,20260922,08:14,ara,大宮,omiya,6,3,,4-7,6,1,7,2,差,0,200,0,ok,0,600,0
20260922-ara-ogaki-7,20260922,08:14,ara,大垣,ogaki,7,2,,4-1,2,1,2,4,差,0,200,0,ok,0,600,0
20260922-ara-tachikawa-5,20260922,08:14,ara,立川,tachikawa,5,4,,7,2,1,4,7,捲,0,100,0,ok,0,300,0
20260922-ara-tachikawa-7,20260922,08:14,ara,立川,tachikawa,7,1,,5-5,6,2,5,7,捲,0,200,0,ok,0,400,0
20260922-honmei-hiroshima-4,20260922,08:53,honmei,広島,hiroshima,4,2,森下龍之介,5-6-1,1,2,1,3,逃,1,300,550,ok,0,600,0
20260922-ara-omiya-7,20260922,08:53,ara,大宮,omiya,7,7,大内達也,2-2,3,3,2,7,差,0,200,0,ok,0,400,0
20260922-ara-hiroshima-3,20260922,08:53,ara,広島,hiroshima,3,3,竹野行登,7-4,5,4,1,2,差,0,200,0,ok,0,600,0
20260922-honmei-ogaki-6,20260922,13:03,honmei,大垣,ogaki,6,7,久米詩,2-6-4,1,7,1,6,捲,0,300,0,ok,0,600,0
20260922-honmei-hiroshima-6,20260922,08:14,honmei,広島,hiroshima,6,5,,7-3-2,2,7,5,3,捲,0,300,0,ok,0,600,0
20260922-honmei-hiroshima-1,20260922,08:14,honmei,広島,hiroshima,1,4,,3-6-2,2,3,4,2,差,0,300,0,ok,0,600,0
20260922-honmei-omiya-2,20260922,08:14,honmei,大宮,omiya,2,1,,7-3-2,1,1,3,7,捲,1,300,810,ok,1,600,2830
20260922-honmei-omiya-3,20260922,08:14,honmei,大宮,omiya,3,7,,2-3-1,5,1,5,6,差,0,300,0,ok,0,600,0
20260922-honmei-tachikawa-8,20260922,08:14,honmei,立川,tachikawa,8,2,,5-7-4,2,5,2,7,差,0,300,0,ok,0,600,0
20260922-honmei-tachikawa-11,20260922,08:14,honmei,立川,tachikawa,11,7,,1-4-3,5,3,1,4,逃,0,300,0,ok,0,600,0
20260922-honmei-aomori-3,20260922,08:14,honmei,青森,aomori,3,4,,1-6-5,2,7,4,5,差,0,300,0,ok,0,600,0
20260922-honmei-aomori-7,20260922,08:14,honmei,青森,aomori,7,5,,1-3-4,1,5,1,4,捲,1,300,210,ok,1,600,860
20260922-ara-ogaki-11,20260922,08:14,ara,大垣,ogaki,11,1,,5-3,1,1,4,5,逃,0,200,0,ok,0,600,0
20260922-ara-aomori-6,20260922,08:14,ara,青森,aomori,6,5,,2-1,1,5,2,3,差,1,200,540,ok,1,600,2810
20260922-ara-aomori-9,20260922,08:14,ara,青森,aomori,9,3,,5-7,2,2,3,4,差,0,200,0,ok,0,600,0
20260922-honmei-ogaki-9,20260922,13:03,honmei,大垣,ogaki,9,1,山本健也,7-2-6,2,7,1,2,捲,0,300,0,ok,0,600,0
20260922-ara-tachikawa-9,20260922,13:03,ara,立川,tachikawa,9,5,柴田洋輔,7-3,7,3,6,2,差,0,200,0,ok,0,600,0
20260922-honmei-ogaki-10,20260922,13:53,honmei,大垣,ogaki,10,5,内山慧大,4-3-1,1,5,1,7,逃,1,300,180,ok,0,600,0
20260922-ara-tachikawa-10,20260922,13:53,ara,立川,tachikawa,10,4,椎木尾拓哉,3-3,2,5,4,1,差,0,200,0,ok,0,400,0
20260922-ara-ogaki-8,20260922,13:53,ara,大垣,ogaki,8,1,尾崎悠生,5-4,4,4,7,3,捲,0,200,0,ok,0,600,0
20260922-honmei-aomori-10,20260922,19:26,honmei,青森,aomori,10,7,雨谷一樹,2-5-1,1,7,4,2,捲,0,300,0,ok,0,600,0
20260922-honmei-aomori-11,20260922,19:26,honmei,青森,aomori,11,2,小川真太郎,4-1-7,1,2,5,1,差,0,300,0,ok,0,600,0
20260922-ara-aomori-12,20260922,19:26,ara,青森,aomori,12,2,松尾透,4-1,5,4,5,1,捲,0,200,0,ok,0,600,0
20260922-honmei-kochi-1,20260922,08:14,honmei,高知,kochi,1,1,,2-3-4,1,1,7,6,逃,0,300,0,ok,0,600,0
20260922-honmei-kochi-2,20260922,08:14,honmei,高知,kochi,2,1,,3-2-5,2,2,1,4,差,0,300,0,ok,0,600,0
20260922-ara-kochi-3,20260922,08:14,ara,高知,kochi,3,2,,1-4,2,1,2,5,差,0,200,0,ok,0,600,0
20260922-ara-sasebo-2,20260922,08:14,ara,佐世保,sasebo,2,1,,2-4,2,2,1,4,差,0,200,0,ok,0,600,0
20260922-honmei-sasebo-4,20260922,08:14,honmei,佐世保,sasebo,4,1,,2-4-3,1,1,2,5,捲,1,300,590,ok,1,600,3890
20260922-ara-sasebo-6,20260922,08:14,ara,佐世保,sasebo,6,2,,3-1,1,2,4,3,捲,0,200,0,ok,0,600,0
20260922-honmei-sasebo-9,20260922,08:14,honmei,佐世保,sasebo,9,1,,2-3-4,1,1,4,3,差,1,300,1010,ok,0,600,0
20260922-ara-kochi-9,20260922,08:14,ara,高知,kochi,9,1,,3-2,5,7,2,6,差,0,200,0,ok,0,600,0
20260923-honmei-omiya-2,20260923,08:13,honmei,大宮,omiya,2,1,大越啓介,4-3-5,5,5,2,4,捲,0,300,0,ok,0,600,0
20260923-ara-omiya-3,20260923,08:13,ara,大宮,omiya,3,5,茂木和臣,2-1,5,4,6,3,差,0,200,0,ok,0,600,0
20260923-honmei-omiya-6,20260923,08:13,honmei,大宮,omiya,6,3,大内達也,5-4-7,2,7,3,5,捲,0,300,0,ok,0,600,0
20260923-ara-omiya-7,20260923,08:13,ara,大宮,omiya,7,7,北村篤,2-3,3,3,1,7,差,0,200,0,ok,0,600,0
20260923-ara-ogaki-1,20260923,08:13,ara,大垣,ogaki,1,3,小林寛弥,5-1,2,5,3,4,差,0,200,0,ok,0,600,0
20260923-ara-tachikawa-2,20260923,08:13,ara,立川,tachikawa,2,7,島野浩司,5-1,5,1,4,2,差,0,200,0,ok,0,600,0
20260923-ara-ogaki-2,20260923,08:13,ara,大垣,ogaki,2,2,飯田威文,4-1,3,4,1,2,逃,0,200,0,ok,0,600,0
20260923-honmei-ogaki-4,20260923,08:13,honmei,大垣,ogaki,4,1,坂井央雅,2-4-7,1,1,2,4,捲,1,300,360,ok,1,600,1770
20260923-honmei-komatsushima-4,20260923,08:13,honmei,小松島,komatsushima,4,2,安達光伸,4-7-5,2,4,2,6,差,0,300,0,ok,0,600,0
20260923-ara-komatsushima-5,20260923,08:13,ara,小松島,komatsushima,5,4,保科千春,6-7,6,2,7,3,捲,0,200,0,ok,0,600,0
20260923-honmei-tachikawa-6,20260923,08:13,honmei,立川,tachikawa,6,2,海老根恵太,3-7-4,4,7,3,1,差,0,300,0,ok,0,600,0
20260923-honmei-ogaki-7,20260923,08:13,honmei,大垣,ogaki,7,1,小笠原昭太,2-4-5,1,1,7,4,差,0,300,0,ok,0,600,0
20260923-ara-komatsushima-8,20260923,08:13,ara,小松島,komatsushima,8,2,岡田泰地,7-1,2,7,2,5,逃,0,200,0,ok,0,600,0
20260923-honmei-tachikawa-9,20260923,08:13,honmei,立川,tachikawa,9,3,久田朔,5-7-2,4,1,2,5,差,0,300,0,ok,0,600,0
20260923-honmei-komatsushima-9,20260923,08:13,honmei,小松島,komatsushima,9,7,田中晴基,2-4-1,2,2,7,4,捲,0,300,0,ok,0,600,0
